1.00 0.23 0.28 0.4034
0.97 1.62 0.52 0.7415
1.75 0.64 0.17 0.3503
0.70 0.49 0.85 0.7186
0.89 0.68 0.51 0.5492
1.92 0.75 0.59 0.5272
0.08 1.09 0.84 0.8136
1.94 1.12 0.23 0.5014
0.37 0.79 0.99 0.8554
1.33 0.79 1.41 1.3887
1.17 1.03 0.48 0.5653
1.35 1.31 1.57 2.0792
0.72 1.90 0.14 0.7025
1.24 1.44 0.78 0.8475
1.62 0.80 0.00 0.3586
0.03 1.66 0.44 0.6956
0.16 0.26 0.00 0.3335
1.94 0.12 0.37 0.2989
1.30 0.16 0.28 0.3423
0.46 0.32 0.53 0.6069
0.80 0.64 0.34 0.4865
0.24 0.60 0.27 0.5551
0.53 0.02 1.19 0.8199
0.51 1.07 1.80 2.0534
0.66 0.19 1.87 1.6540
0.30 0.29 0.44 0.6181
0.69 1.26 0.96 0.9199
0.24 1.71 0.75 0.8630
1.76 1.94 1.04 1.4810
0.18 1.14 0.52 0.6584
1.86 1.99 0.13 0.9955
0.79 1.10 0.87 0.8158
0.09 1.03 0.34 0.5941
0.68 0.66 0.05 0.3761
1.47 0.86 1.90 2.9221
1.58 0.98 0.86 0.7763
1.08 0.14 1.92 1.9255
1.37 1.77 1.52 2.3357
1.78 0.12 0.01 0.1852
0.10 0.87 1.36 1.1482
0.60 1.65 1.41 1.6282
0.09 0.78 1.29 1.0664
0.39 1.22 1.10 1.0177
1.44 1.63 0.43 0.7427
1.44 1.77 1.54 2.4472
1.75 1.86 0.45 0.9281
1.16 0.38 0.74 0.6000
0.14 0.51 1.78 1.5055
1.84 1.79 1.71 3.6131
1.60 1.18 0.80 0.7865
0.57 1.00 0.63 0.6655
1.08 1.22 1.21 1.2089
1.96 1.63 1.82 4.2280
1.43 1.06 1.81 2.7396
1.67 0.40 1.18 0.9496
0.86 0.90 0.66 0.6495
0.94 0.85 1.70 1.8848
1.12 1.93 0.88 1.1416
0.53 1.24 1.80 2.2039
1.49 1.39 0.06 0.5545
1.00 1.44 1.06 1.0933
1.29 0.69 1.43 1.3698
0.61 1.03 0.35 0.5428
0.27 1.11 0.67 0.7165
0.95 0.31 0.37 0.4544
0.72 1.12 0.64 0.6789
1.57 1.38 0.80 0.8566
1.56 0.85 1.09 0.9706
1.33 1.67 0.09 0.6687
0.26 1.46 1.10 1.0700
0.04 0.72 0.54 0.6781
1.11 0.90 0.48 0.5450
0.60 0.77 0.48 0.5754
1.87 1.55 0.30 0.7068
1.96 1.46 1.91 4.5938
0.57 0.86 1.87 2.0957
1.60 1.38 1.63 2.4881
1.79 1.89 1.45 2.4580
1.19 1.56 0.35 0.6645
1.76 1.41 0.72 0.8181
1.88 0.21 0.37 0.3234
1.09 0.77 0.00 0.3489
1.45 1.18 0.63 0.6710
1.15 0.91 1.39 1.3694
0.05 0.10 1.25 0.9614
0.89 0.45 1.08 0.8526
1.29 1.66 0.87 1.0157
1.04 0.03 0.57 0.4553
0.74 1.72 1.00 1.1072
1.87 0.15 1.52 1.4079
1.65 1.33 1.52 2.0881
1.69 1.00 1.15 1.1094
0.74 0.43 1.49 1.2426
1.18 1.14 1.29 1.3107
1.74 0.24 0.24 0.2929
1.86 1.34 1.00 1.0623
1.33 1.19 0.69 0.7101
0.41 0.11 0.18 0.5258
1.30 0.11 0.29 0.3349
0.14 0.30 0.39 0.6502
0.81 0.03 1.34 0.9222
1.33 0.87 0.86 0.7523
1.86 1.66 1.38 2.0273
1.62 1.23 0.51 0.6254
0.96 1.04 0.01 0.4107
1.51 1.72 1.06 1.2987
0.83 0.19 0.55 0.5340
1.94 1.81 1.89 5.1702
1.97 0.21 1.81 2.2770
1.72 1.03 0.78 0.7258
0.77 0.28 0.04 0.3327
0.90 1.11 1.34 1.3248
0.49 0.00 1.67 1.0651
1.56 1.53 1.94 4.3168
1.76 1.69 0.11 0.7454
1.82 1.83 0.90 1.2243
1.11 1.97 1.16 1.5234
1.19 1.01 1.37 1.3882
0.29 0.54 1.43 1.1497
1.79 0.20 1.30 1.0457
0.90 1.01 1.45 1.4579
0.41 1.17 0.74 0.7531
1.79 1.52 1.16 1.3899
1.52 0.16 0.23 0.2939
1.76 1.32 0.11 0.5517
0.56 1.03 1.95 2.4648
1.34 0.34 0.56 0.4828
1.32 1.87 1.18 1.5461
0.24 1.18 1.92 2.2710
0.81 0.88 0.37 0.5181
0.55 1.88 0.38 0.7456
1.43 1.31 0.68 0.7407
0.56 0.90 1.86 2.0970
1.79 1.67 0.78 0.9990
1.65 1.06 0.54 0.5879
0.78 1.10 0.30 0.5220
0.99 1.36 0.79 0.8210
1.38 0.73 0.74 0.6381
1.66 0.47 0.26 0.3484
1.21 1.15 0.87 0.8288
1.14 1.73 0.18 0.6876
0.65 0.81 1.22 1.0482
0.91 0.22 0.02 0.2832
1.42 0.88 1.14 1.0325
1.76 0.60 1.57 1.7557
1.44 0.80 0.47 0.5032
0.03 1.66 0.89 0.9380
1.34 0.80 1.13 0.9915
0.87 0.78 0.12 0.4048
0.87 0.72 0.99 0.8333
